               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086784,            0.021404,            0.085917,           0.0036004,             0.11635,            0.034879,            0.010946,                 nan,                 nan,                 nan,            0.070625,           0.0032639,           0.0032639
                   1,            0.050492,            0.018331,             0.07997,            0.019896,             0.11207,            0.058865,            0.019703,                 nan,                 nan,                 nan,             0.04056,           0.0065319,           0.0065319
                   2,            0.045392,            0.015837,            0.077899,             0.66203,            0.019231,             0.06632,            0.036207,                 nan,                 nan,                 nan,            0.010428,           0.0097339,           0.0097339
                   3,            0.040454,            0.013484,            0.075712,             0.12487,             0.08069,            0.058459,            0.037893,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   4,            0.036947,            0.012558,            0.073346,             0.30562,            0.073077,            0.058648,            0.033007,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   5,            0.035888,            0.012363,            0.070103,             0.61913,            0.077885,            0.095827,            0.053733,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   6,            0.033824,            0.012323,            0.066444,              0.6211,            0.077885,            0.097753,            0.059221,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   7,            0.032076,            0.011544,            0.064299,             0.93585,             0.07718,            0.099988,             0.08047,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   8,            0.033108,            0.011175,            0.060812,              0.8771,            0.077885,             0.10044,            0.063584,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                   9,            0.031057,            0.011381,            0.058547,             0.71626,             0.10719,            0.092901,            0.066026,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  10,            0.031276,            0.011071,            0.058209,              0.6426,             0.10822,             0.10289,            0.072749,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  11,            0.029637,            0.010882,            0.055892,             0.73245,             0.11015,             0.10226,            0.077275,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  12,            0.028999,            0.010625,            0.054348,             0.73563,             0.11079,             0.10212,            0.073405,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  13,            0.028799,            0.010514,            0.053407,             0.58046,             0.11142,             0.10335,            0.082889,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  14,            0.028636,            0.010793,            0.051783,             0.73071,             0.11172,             0.10198,            0.077071,                 nan,                 nan,                 nan,            0.008713,            0.008713,            0.008713
                  15,            0.027858,            0.010441,            0.050747,             0.69975,             0.11268,              0.1089,            0.078655,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                  16,            0.028846,            0.010395,            0.049576,             0.93966,            0.088829,            0.095047,            0.067033,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  17,            0.028075,              0.0104,            0.048093,             0.86139,             0.09357,            0.098653,            0.074637,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  18,             0.02755,            0.010361,            0.045615,             0.89489,            0.097115,             0.10301,            0.075797,                 nan,                 nan,                 nan,            0.008317,            0.008317,            0.008317
                  19,            0.027784,            0.010438,            0.043185,             0.89904,             0.10641,             0.10666,            0.081875,                 nan,                 nan,                 nan,            0.008218,            0.008218,            0.008218
                  20,            0.027104,            0.010246,            0.043886,             0.94464,             0.10594,             0.11733,            0.089748,                 nan,                 nan,                 nan,            0.008119,            0.008119,            0.008119
                  21,            0.027754,           0.0099405,            0.042374,              0.9431,            0.092846,             0.11094,            0.081183,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  22,            0.027092,            0.010114,            0.041206,              0.7614,            0.096052,             0.10773,            0.076106,                 nan,                 nan,                 nan,            0.007921,            0.007921,            0.007921
                  23,            0.026989,            0.010226,            0.038722,             0.74944,             0.11221,             0.10576,            0.074559,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  24,            0.026715,            0.010245,            0.039135,             0.97305,            0.093898,             0.10602,            0.081386,                 nan,                 nan,                 nan,            0.007723,            0.007723,            0.007723
                  25,            0.027068,           0.0098039,              0.0381,             0.98863,            0.095412,             0.10855,            0.082542,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                  26,             0.02623,            0.010132,            0.037287,             0.94766,            0.080722,             0.11098,            0.086862,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  27,            0.025843,            0.009899,            0.036734,             0.79405,            0.091154,               0.098,            0.069774,                 nan,                 nan,                 nan,            0.007426,            0.007426,            0.007426
                  28,            0.026113,            0.010313,            0.036257,             0.98473,            0.093394,             0.10654,            0.076652,                 nan,                 nan,                 nan,            0.007327,            0.007327,            0.007327
                  29,            0.025812,           0.0098781,            0.035042,             0.94247,            0.097115,              0.1065,             0.07203,                 nan,                 nan,                 nan,            0.007228,            0.007228,            0.007228
                  30,            0.026036,           0.0096975,            0.034897,             0.96328,             0.08477,              0.1019,            0.072361,                 nan,                 nan,                 nan,            0.007129,            0.007129,            0.007129
                  31,            0.025623,           0.0096733,            0.033356,             0.97198,             0.10691,             0.11807,             0.09495,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  32,            0.024923,           0.0096461,            0.033022,             0.96998,            0.092088,             0.10819,            0.077157,                 nan,                 nan,                 nan,            0.006931,            0.006931,            0.006931
                  33,            0.025426,           0.0099412,            0.031621,             0.98118,            0.092547,             0.10867,            0.076778,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  34,            0.024645,           0.0095976,            0.030697,             0.97573,             0.10648,             0.11882,            0.084758,                 nan,                 nan,                 nan,            0.006733,            0.006733,            0.006733
                  35,             0.02487,           0.0093622,            0.028394,             0.79178,             0.11207,             0.11821,            0.089004,                 nan,                 nan,                 nan,            0.006634,            0.006634,            0.006634
                  36,            0.024847,           0.0095536,            0.029158,             0.92729,             0.11039,              0.1185,            0.090429,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                  37,            0.025263,           0.0093507,             0.02902,             0.87961,             0.11296,             0.11847,            0.087784,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                  38,            0.024552,           0.0095015,            0.028051,              0.9326,             0.10742,             0.11804,            0.093418,                 nan,                 nan,                 nan,            0.006337,            0.006337,            0.006337
                  39,            0.024742,           0.0095511,            0.027116,              0.9792,            0.091113,             0.10693,            0.082796,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                  40,            0.024613,           0.0097047,            0.027273,              0.9681,             0.10868,             0.11802,            0.098823,                 nan,                 nan,                 nan,            0.006139,            0.006139,            0.006139
                  41,            0.024077,           0.0092647,            0.026604,             0.98509,            0.090917,             0.11197,            0.082354,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  42,            0.023963,            0.009335,            0.025884,             0.98434,            0.093257,             0.10199,            0.084735,                 nan,                 nan,                 nan,            0.005941,            0.005941,            0.005941
                  43,            0.024112,           0.0092311,            0.025688,             0.94361,            0.097115,             0.10885,            0.083038,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  44,            0.023914,           0.0094112,            0.025869,             0.95151,            0.089178,             0.10572,             0.08734,                 nan,                 nan,                 nan,            0.005743,            0.005743,            0.005743
                  45,            0.023194,           0.0095563,            0.023737,             0.87409,             0.11096,             0.11832,            0.092706,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  46,             0.02285,           0.0093189,            0.022409,             0.92718,             0.11079,             0.11862,            0.086706,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  47,            0.022845,           0.0091528,            0.023133,             0.95118,            0.097115,             0.11219,             0.09024,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                  48,            0.023046,           0.0090894,            0.023873,             0.96769,             0.10536,             0.11899,            0.088361,                 nan,                 nan,                 nan,            0.005347,            0.005347,            0.005347
                  49,            0.022785,           0.0091078,            0.023472,              0.9226,             0.11094,             0.11881,            0.093669,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  50,            0.023252,            0.009047,            0.023147,             0.98709,            0.093112,             0.10892,            0.085227,                 nan,                 nan,                 nan,            0.005149,            0.005149,            0.005149
                  51,            0.023106,           0.0090754,            0.022781,             0.96963,             0.10788,              0.1187,            0.093362,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  52,             0.02266,            0.008854,            0.021218,             0.96882,             0.10647,             0.11859,            0.089821,                 nan,                 nan,                 nan,            0.004951,            0.004951,            0.004951
                  53,            0.022789,           0.0091041,            0.022196,             0.88551,             0.10888,             0.11888,            0.091587,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  54,            0.022631,           0.0091446,            0.020907,             0.92896,             0.11006,             0.11884,            0.087665,                 nan,                 nan,                 nan,            0.004753,            0.004753,            0.004753
                  55,            0.021754,            0.008861,            0.018781,              0.8741,             0.11157,             0.11897,            0.093259,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                  56,            0.022597,           0.0089272,            0.020622,             0.86911,             0.11325,             0.11851,            0.093477,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                  57,            0.022314,           0.0088564,            0.020796,             0.98563,            0.092993,             0.11239,            0.084584,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  58,            0.022241,            0.008809,            0.019951,             0.94384,             0.10302,             0.11859,            0.094613,                 nan,                 nan,                 nan,            0.004357,            0.004357,            0.004357
                  59,             0.02163,           0.0087986,            0.019336,             0.91956,             0.11005,             0.11863,            0.096012,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                  60,            0.021242,           0.0084941,            0.019023,             0.97491,            0.085479,             0.10144,            0.080546,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                  61,            0.021941,           0.0085748,            0.018214,             0.90912,             0.11049,             0.11507,            0.092588,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  62,            0.021439,           0.0083798,            0.018565,             0.87562,              0.1114,             0.11908,            0.093286,                 nan,                 nan,                 nan,            0.003961,            0.003961,            0.003961
                  63,            0.021129,           0.0084078,            0.019037,             0.92645,             0.11067,             0.11868,            0.092052,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  64,            0.020988,           0.0085472,            0.017925,             0.91421,             0.11322,             0.11902,            0.087544,                 nan,                 nan,                 nan,            0.003763,            0.003763,            0.003763
                  65,            0.020796,           0.0083377,            0.016275,             0.75279,             0.11473,             0.11897,            0.090883,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  66,            0.020519,           0.0085193,            0.016733,             0.87783,             0.11153,              0.1189,            0.092399,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  67,            0.020212,           0.0085803,            0.017629,             0.87175,             0.11393,             0.11848,            0.094176,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  68,            0.019812,           0.0083803,            0.015821,             0.91147,             0.11272,             0.11859,            0.092161,                 nan,                 nan,                 nan,            0.003367,            0.003367,            0.003367
                  69,            0.019919,           0.0083108,             0.01538,             0.90894,             0.11383,             0.11869,            0.088755,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  70,            0.020276,           0.0081207,            0.015977,             0.97975,            0.093107,             0.11232,            0.089059,                 nan,                 nan,                 nan,            0.003169,            0.003169,            0.003169
                  71,            0.019846,            0.008264,            0.016233,             0.93986,            0.093037,             0.10729,            0.089778,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  72,            0.020021,           0.0083301,            0.016173,             0.97611,            0.092998,             0.10938,            0.082916,                 nan,                 nan,                 nan,            0.002971,            0.002971,            0.002971
                  73,            0.019153,           0.0080753,            0.015183,             0.87142,             0.11404,             0.11596,             0.09368,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  74,            0.019352,           0.0080974,            0.015445,             0.92256,             0.11014,             0.11902,            0.098537,                 nan,                 nan,                 nan,            0.002773,            0.002773,            0.002773
